Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov001,CL_cov002,CL_cov003,CL_cov004,CL_cov005,CL_cov006,CL_cov007,CL_cov008,CL_cov009,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov001,CS_cov002,CS_cov003,CS_cov004,CS_cov005,CS_cov006,CS_cov007,CS_cov008,CS_cov009,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov001,CSP_cov002,CSP_cov003,CSP_cov004,CSP_cov005,CSP_cov006,CSP_cov007,CSP_cov008,CSP_cov009,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
IA-LM,334,84,12,21.77,0.5399,0.5061,0.4583,0.5303,0.417,0.5777,0.4574,0.4996,0.5189,0.6567,0.6076,0.3986,0.626,0.2236,0.1817,0.1022,3.57,63.1,,,,,,,,,1.0,0.875,0.5333,0.6571,0.5536,0.5846,0.5634,0.4714,0.578,0.5366,0.5399,0.0,0.0,0.5,0.6667,0.75,0.8,0.8,0.6,0.5833,0.6429,0.4667,0.4762,0.4414,0.4861,0.5265,0.5887,0.6101,0.5366,0.5399,,,1.0,1.0,0.75,0.625,0.625,0.7,0.6667,0.5556,0.6346,0.6476,0.4759,0.4676,0.5707,0.5284,0.6151,0.5366,0.5399
KNS-62,246,62,12,32.47,0.4389,0.4389,0.4062,0.3927,0.5204,0.4063,0.5054,0.5652,0.3777,0.4226,0.5054,0.5054,0.4266,0.319,0.2117,0.2131,0.0,45.16,1.0,1.0,1.0,1.0,0.5,0.5,0.6667,0.6667,0.4444,0.3333,0.25,0.4103,0.4632,0.404,0.3786,0.3118,0.4241,0.452,0.4389,1.0,1.0,1.0,0.5,0.3333,0.3333,0.3333,0.3333,0.25,0.5,0.375,0.4524,0.373,0.3533,0.4,0.4963,0.4563,0.475,0.4389,1.0,1.0,1.0,0.5,0.5,0.5,0.3333,0.3333,0.25,0.2,0.4,0.3718,0.3889,0.404,0.4444,0.3747,0.4241,0.452,0.4389
LC-1-sq,287,72,12,27.58,0.5206,0.5931,0.4712,0.5679,0.5689,0.4979,0.4866,0.4733,0.4342,0.5715,0.5607,0.5,0.6193,0.2615,0.1882,0.1459,6.94,54.17,,,,,1.0,0.75,0.6,0.6,0.5,0.75,0.4167,0.4444,0.6548,0.6655,0.6179,0.5734,0.5789,0.5429,0.5206,1.0,1.0,1.0,1.0,0.6667,0.75,0.6,0.6,0.5,0.4286,0.5833,0.5294,0.5145,0.572,0.551,0.5466,0.5256,0.5191,0.5206,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.6,0.5,0.4286,0.4167,0.4583,0.5145,0.5089,0.5885,0.5714,0.5789,0.5429,0.5206
LC-2-ad,294,74,12,69.84,0.5624,0.6644,0.5921,0.4133,0.6101,0.6047,0.4816,0.4825,0.5624,0.5768,0.4915,0.3315,0.5669,0.2898,0.207,0.1741,0.0,47.3,,,,,,1.0,0.8,0.8,0.9,0.75,0.64,0.3556,0.5284,0.4722,0.5,0.5583,0.5814,0.5374,0.5624,,,1.0,1.0,0.5,0.3333,0.5556,0.5556,0.5,0.4375,0.537,0.5917,0.59,0.5385,0.5433,0.564,0.5284,0.5329,0.5624,,,,,0.6667,0.75,0.8,0.8,0.8333,0.8333,0.58,0.5446,0.5397,0.4563,0.3673,0.5168,0.6151,0.5374,0.5624
LCLC-103H,316,80,12,39.65,0.578,0.5681,0.5695,0.3812,0.6313,0.5958,0.5036,0.4325,0.5655,0.497,0.4858,0.5431,0.4852,0.362,0.2263,0.2718,0.0,37.5,,,1.0,0.6667,0.6667,0.5,0.75,0.6,0.7333,0.7333,0.5333,0.4844,0.6042,0.5356,0.6111,0.5653,0.5792,0.5885,0.578,,,,0.0,0.0,0.0,0.2,0.3333,0.25,0.25,0.4167,0.3579,0.3429,0.4046,0.4343,0.4266,0.5172,0.5694,0.578,,,,,,,0.2,0.3333,0.6667,0.6667,0.5167,0.4609,0.4203,0.5413,0.6167,0.5653,0.5589,0.5885,0.578
LCLC-97TM1,321,81,12,69.4,0.382,0.4451,0.5233,0.5075,0.4808,0.3313,0.513,0.5226,0.369,0.3995,0.415,0.4328,0.3971,0.3003,0.2041,0.1929,1.23,40.74,1.0,1.0,0.5,0.3333,0.25,0.25,0.625,0.5,0.6667,0.5556,0.5694,0.4805,0.4662,0.415,0.4655,0.4962,0.4075,0.4034,0.382,1.0,1.0,1.0,0.75,0.8333,0.8333,0.875,0.8333,0.8125,0.7,0.7714,0.6218,0.4889,0.4807,0.4431,0.4348,0.3675,0.3648,0.382,1.0,1.0,0.5,0.75,0.6667,0.6667,0.625,0.6,0.6667,0.5556,0.6806,0.5577,0.5259,0.5024,0.4915,0.4338,0.4075,0.4034,0.382
LK-2,320,80,12,49.75,0.4752,0.5693,0.4662,0.4932,0.4739,0.5493,0.5152,0.5319,0.5326,0.4468,0.452,0.4336,0.4442,0.3717,0.2213,0.2863,0.0,37.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.75,0.75,0.6875,0.5833,0.5238,0.504,0.49,0.4893,0.4927,0.4846,0.4752,1.0,1.0,0.5,0.3333,0.3333,0.5,0.375,0.3333,0.4,0.4,0.3818,0.437,0.5022,0.4478,0.4744,0.4816,0.4919,0.4762,0.4752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.75,0.75,0.7179,0.5648,0.5325,0.5093,0.4864,0.4906,0.4938,0.4846,0.4752
LOU-NH91,321,81,12,30.1,0.5989,0.551,0.5788,0.6283,0.5544,0.5663,0.5939,0.6536,0.5375,0.6899,0.5344,0.7078,0.6252,0.2466,0.1816,0.1201,12.35,56.79,,,,,1.0,1.0,1.0,0.8,0.6667,0.5714,0.6167,0.5159,0.5652,0.641,0.6707,0.6343,0.6277,0.619,0.5989,0.0,0.0,0.5,0.6667,0.6667,0.6667,0.75,0.7,0.6667,0.7143,0.65,0.6838,0.623,0.645,0.6667,0.6036,0.611,0.5915,0.5989,,,1.0,1.0,1.0,1.0,0.8,0.8,0.6667,0.5714,0.5577,0.5397,0.627,0.6051,0.6854,0.685,0.6257,0.5977,0.5989
LU-65,342,86,12,23.13,0.5277,0.5178,0.4864,0.5033,0.5146,0.4066,0.5596,0.5352,0.462,0.6216,0.6516,0.4047,0.5221,0.2557,0.198,0.1453,1.16,52.33,,,,,,1.0,0.8333,0.8333,0.7143,0.625,0.7778,0.6381,0.5115,0.5357,0.5476,0.4686,0.519,0.4982,0.5277,1.0,1.0,1.0,1.0,1.0,0.875,0.9,0.9,0.9167,0.9286,0.8444,0.6667,0.5969,0.525,0.4432,0.4017,0.4687,0.5053,0.5277,,,,,,,,,,,0.5938,0.7167,0.6173,0.5429,0.4858,0.4686,0.5175,0.4982,0.5277
LU-99A,316,79,12,36.46,0.6462,0.666,0.6476,0.307,0.5652,0.6509,0.6397,0.6476,0.5672,0.5863,0.5889,0.666,0.6476,0.3036,0.2017,0.1815,0.0,46.84,,,,,,,,1.0,0.8571,0.8571,0.6667,0.7891,0.6623,0.5755,0.5801,0.5775,0.6711,0.6407,0.6462,0.0,0.0,0.5,0.6667,0.6667,0.5,0.4,0.5,0.5,0.5,0.4792,0.5093,0.5758,0.5897,0.6167,0.619,0.6707,0.6563,0.6462,,,,,,1.0,1.0,0.8333,0.7143,0.7143,0.7083,0.6303,0.6147,0.5208,0.5434,0.5761,0.6721,0.6407,0.6462
