Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
NCI-H1869,334,84,12,5.02,0.6278,0.462,0.5924,0.5519,0.7038,0.5937,0.6456,0.638,0.6962,0.638,0.5646,0.4101,0.3899,0.0421,0.0471,0.0071,92.86,95.24,,,0.96,0.7812,0.625,0.5102,0.4386,0.5641,0.6076,0.6278,,0.8125,0.7292,0.6094,0.5625,0.6667,0.7273,0.668,0.6076,0.6278,0.5,0.4375,0.44,0.4242,0.7,0.6429,0.6404,0.5538,0.6076,0.6278
NCI-H1915,322,81,12,4.22,0.1375,0.0875,0.2625,0.8875,0.075,0.1062,0.35,0.75,0.125,0.5062,0.525,0.65,0.05,0.0501,0.071,0.0088,81.48,91.36,,0.6875,0.4583,0.3438,0.275,0.2292,0.1964,0.1719,0.1528,0.1375,,,,0.3438,0.275,0.2292,0.1964,0.1719,0.1528,0.1375,0.375,0.25,0.2083,0.1562,0.2,0.2083,0.1964,0.1719,0.1528,0.1375
NCI-H1944,322,81,12,12.16,0.7022,0.4878,0.2444,0.4622,0.5911,0.6644,0.5533,0.6044,0.5289,0.4822,0.5444,0.4333,0.4822,0.1182,0.1193,0.0271,59.26,81.48,,,,,,0.9167,0.9104,0.84,0.7861,0.7022,,,,,,,0.8,0.7869,0.75,0.7022,,,,,,,0.8182,0.791,0.7559,0.7022
NCI-H1975,342,86,12,13.79,0.497,0.4224,0.3455,0.4121,0.4945,0.6461,0.5406,0.6024,0.5661,0.5097,0.6182,0.583,0.5261,0.1254,0.1138,0.0431,62.79,81.4,1.0,0.6607,0.5429,0.477,0.3739,0.3007,0.3413,0.2972,0.3411,0.497,,0.6607,0.4205,0.3733,0.3649,0.3007,0.3386,0.2972,0.3536,0.497,0.6429,0.6607,0.4205,0.4655,0.3739,0.3007,0.3386,0.2972,0.3411,0.497
NCI-H1993,320,81,12,3.24,0.5747,0.7906,0.6266,0.4675,0.5909,0.5422,0.6623,0.4253,0.3864,0.5049,0.5714,0.7857,0.4903,0.0384,0.0511,0.018,88.89,93.83,,,0.7917,0.5938,0.6795,0.5638,0.4818,0.586,0.6413,0.5747,0.5,0.5,0.4583,0.4062,0.425,0.5319,0.4818,0.586,0.6413,0.5747,0.25,0.3125,0.2917,0.25,0.25,0.2917,0.4091,0.5538,0.6413,0.5747
NCI-H2009,265,67,12,4.82,0.2308,0.4462,0.5923,0.2615,0.6154,0.5923,0.6769,0.2462,0.4615,0.2577,0.2154,0.5385,0.3692,0.0584,0.0712,0.0177,77.61,91.04,0.8333,0.3846,0.25,0.6,0.4688,0.3846,0.3333,0.2885,0.2542,0.2308,0.5,0.2308,0.5,0.42,0.4062,0.3718,0.3333,0.2885,0.2542,0.2308,,0.0769,0.15,0.1538,0.1212,0.1,0.3333,0.2885,0.2542,0.2308
NCI-H2023,315,79,12,5.08,0.5263,0.8355,0.6842,0.7719,0.6667,0.5329,0.6404,0.4254,0.4386,0.4605,0.5877,0.4211,0.5307,0.0648,0.0733,0.0286,81.01,88.61,,,0.8696,0.7667,0.6053,0.5,0.4259,0.371,0.3286,0.5263,,,,0.8065,0.6053,0.5,0.4259,0.371,0.3286,0.5263,,,0.4783,0.4333,0.4211,0.4022,0.4074,0.371,0.3286,0.5263
NCI-H2030,273,69,12,10.53,0.4754,0.415,0.3566,0.3975,0.4365,0.5564,0.5328,0.5984,0.4303,0.7029,0.4898,0.416,0.4918,0.0902,0.0975,0.017,71.01,88.41,0.8333,0.3846,0.6316,0.6133,0.6129,0.6667,0.6327,0.6042,0.5273,0.4754,,0.625,0.6765,0.6146,0.6267,0.6111,0.5581,0.5481,0.525,0.4754,0.8333,0.7917,0.6471,0.6354,0.5403,0.5946,0.5581,0.551,0.5273,0.4754
NCI-H2085,299,75,12,6.68,0.4537,0.4583,0.4722,0.3102,0.4306,0.4398,0.6296,0.4306,0.5833,0.3657,0.5833,0.5278,0.3241,0.0627,0.0814,0.0102,77.33,86.67,,,0.8182,0.6207,0.7083,0.593,0.6533,0.5731,0.5026,0.4537,,,,0.5862,0.4865,0.5698,0.6533,0.5731,0.5026,0.4537,,,,,,0.75,0.6533,0.5731,0.5026,0.4537
NCI-H2087,320,81,12,5.74,0.4578,0.4821,0.4221,0.6234,0.5162,0.3782,0.3701,0.6786,0.3799,0.599,0.4318,0.5032,0.25,0.0526,0.0597,0.0081,86.42,93.83,0.375,0.1875,0.4783,0.3548,0.2821,0.234,0.463,0.4032,0.5109,0.4578,,0.0625,0.0833,0.0938,0.2692,0.234,0.4506,0.4032,0.5109,0.4578,,0.0,0.4348,0.4,0.4035,0.4058,0.4198,0.4032,0.5109,0.4578
NCI-H2110,278,70,12,10.34,0.5867,0.5565,0.7218,0.6129,0.4153,0.6411,0.6411,0.6694,0.7036,0.6573,0.4919,0.4476,0.5343,0.0952,0.1056,0.0257,71.43,78.57,,0.5385,0.6579,0.4808,0.6935,0.5658,0.5773,0.5733,0.5029,0.5867,,0.7917,0.6842,0.64,0.5729,0.5658,0.6434,0.5733,0.574,0.5867,0.5,0.3846,0.6579,0.6533,0.5729,0.5658,0.6512,0.5733,0.5029,0.5867
NCI-H2122,320,81,12,23.69,0.5585,0.5914,0.5044,0.4832,0.5336,0.6301,0.5395,0.5241,0.587,0.5197,0.5497,0.5205,0.4839,0.2339,0.1791,0.1215,23.46,58.02,0.7143,0.7333,0.44,0.478,0.6609,0.6275,0.5794,0.5213,0.5722,0.5585,0.5,0.5833,0.6429,0.565,0.6091,0.5383,0.5413,0.5248,0.5113,0.5585,0.75,0.5577,0.627,0.4945,0.6152,0.602,0.5838,0.5213,0.544,0.5585
NCI-H2135,326,82,12,3.19,0.1111,0.179,0.2346,0.4691,0.2593,0.1728,0.2593,0.358,0.1605,0.358,0.1975,0.1605,0.6667,0.0384,0.0526,0.0072,84.15,91.46,,0.5625,0.375,0.2812,0.225,0.1837,0.1579,0.1385,0.1233,0.1111,0.625,0.5625,0.375,0.2812,0.225,0.1837,0.1579,0.1385,0.1233,0.1111,,,,,0.15,0.1429,0.1404,0.1385,0.1233,0.1111
NCI-H2170,316,80,12,5.81,0.4507,0.5173,0.5733,0.3653,0.468,0.3627,0.4453,0.5573,0.3853,0.5307,0.6853,0.3013,0.4627,0.0536,0.0684,0.0091,81.25,92.5,0.2857,0.3214,0.2045,0.3678,0.2883,0.237,0.2013,0.1749,0.3529,0.4507,,,0.1364,0.2874,0.2342,0.2296,0.2013,0.1749,0.1546,0.4507,,,,0.2,0.2105,0.2283,0.195,0.1749,0.1546,0.4507
NCI-H2172,273,69,12,2.63,0.3382,0.5735,0.25,0.4118,0.0735,0.7279,0.8235,0.1912,0.1912,0.6397,0.5588,0.4706,0.5441,0.0349,0.0511,0.0104,85.51,91.3,,,,0.8519,0.6765,0.561,0.4792,0.4182,0.371,0.3382,,0.9231,0.8,0.7037,0.6176,0.561,0.4792,0.4182,0.371,0.3382,,,0.55,0.5556,0.4412,0.4146,0.4167,0.4182,0.371,0.3382
NCI-H2228,315,79,12,6.35,0.3653,0.5913,0.4863,0.3653,0.6393,0.5936,0.5091,0.4315,0.4909,0.2249,0.2694,0.29,0.2785,0.0524,0.0584,0.0117,91.14,93.67,0.75,0.3214,0.2045,0.4138,0.4514,0.4884,0.4118,0.4598,0.404,0.3653,0.2857,0.1333,0.4091,0.4483,0.4324,0.4372,0.4,0.3559,0.404,0.3653,,0.0667,0.3182,0.2184,0.2252,0.2519,0.3654,0.3559,0.404,0.3653
NCI-H226,342,86,12,1.87,0.5417,0.494,0.631,0.4048,0.4821,0.5714,0.1726,0.3452,0.256,0.5655,0.4524,0.5238,0.4702,0.0201,0.0314,0.0037,91.86,97.67,,0.9412,0.64,0.4706,0.381,0.3137,0.2667,0.2353,0.5987,0.5417,,,,,,0.3137,0.2667,0.2353,0.5987,0.5417,0.6429,0.5938,0.5833,0.5758,0.5854,0.59,0.5932,0.597,0.5987,0.5417
NCI-H2291,278,70,12,4.31,0.6771,0.6979,0.5807,0.651,0.6615,0.599,0.6172,0.6042,0.4688,0.6276,0.763,0.6953,0.6276,0.0294,0.0341,0.0059,92.86,95.71,1.0,0.4615,0.5526,0.4038,0.3182,0.2625,0.2234,0.4591,0.5593,0.6771,,0.7692,0.5,0.3846,0.3182,0.2625,0.2234,0.1944,0.4056,0.6771,,,,,0.1176,0.0976,0.1042,0.0909,0.4056,0.6771
NCI-H23,339,85,12,8.49,0.7468,0.711,0.865,0.7743,0.7532,0.7384,0.557,0.557,0.6181,0.6213,0.7363,0.6772,0.6878,0.0765,0.0769,0.0171,82.35,91.76,,,0.92,0.697,0.7683,0.6429,0.5431,0.4773,0.6952,0.7468,,,0.8,0.6667,0.7439,0.6429,0.5431,0.6564,0.7583,0.7468,,,0.4,0.3939,0.4524,0.6429,0.5431,0.4773,0.7583,0.7468
NCI-H2342,264,67,12,9.37,0.7286,0.6988,0.6429,0.7333,0.7881,0.6714,0.5762,0.5714,0.7381,0.7048,0.4833,0.7619,0.7143,0.0888,0.0953,0.0299,73.13,85.07,,0.7692,0.5,0.3846,0.6562,0.5385,0.4667,0.71,0.7485,0.7286,,,1.0,1.0,0.6562,0.5385,0.4667,0.71,0.7455,0.7286,1.0,0.5417,0.5789,0.64,0.6406,0.5385,0.4667,0.71,0.6857,0.7286
NCI-H2347,271,68,12,5.01,0.303,0.3826,0.3788,0.6288,0.3182,0.6136,0.4167,0.5606,0.3333,0.3977,0.1515,0.8106,0.4242,0.0502,0.062,0.0099,85.29,91.18,,,0.75,0.7692,0.625,0.5128,0.4348,0.3774,0.3333,0.303,,,,0.7778,0.697,0.5128,0.4348,0.3774,0.3333,0.303,,,0.5,0.4815,0.3906,0.3718,0.3696,0.3774,0.3333,0.303
NCI-H2405,318,80,12,2.51,0.962,0.962,0.9367,0.0253,0.8987,0.9747,0.9747,0.0253,0.9873,0.9747,0.8228,0.0506,0.962,0.0402,0.0499,0.017,90.0,92.5,,,,,,,,,,0.962,,,,,,,,,,0.962,,,,,,,,,,0.962
NCI-H292,278,70,12,32.18,0.5043,0.5561,0.4979,0.4498,0.4434,0.515,0.5385,0.4989,0.6165,0.5646,0.4647,0.547,0.4541,0.316,0.2066,0.2014,0.0,45.71,0.3333,0.6667,0.625,0.6688,0.62,0.5279,0.4797,0.5333,0.4987,0.5043,0.7,0.75,0.7143,0.6778,0.568,0.5191,0.5235,0.522,0.4611,0.5043,0.8333,0.5152,0.7551,0.7251,0.5769,0.5279,0.4797,0.5333,0.532,0.5043
NCI-H3122,312,78,12,8.97,0.4444,0.39,0.3148,0.3912,0.3287,0.5486,0.6875,0.5718,0.5486,0.4132,0.3657,0.4352,0.5648,0.0791,0.0865,0.0225,76.92,83.33,,0.6,0.5909,0.6207,0.5929,0.4826,0.528,0.4552,0.4923,0.4444,,0.6,0.3913,0.7126,0.5786,0.581,0.524,0.4552,0.4923,0.4444,0.7143,0.6667,0.4318,0.5167,0.527,0.4826,0.524,0.4552,0.4923,0.4444
NCI-H322M,339,85,12,6.84,0.7169,0.8223,0.9217,0.9036,0.8554,0.6476,0.6687,0.6747,0.6084,0.7892,0.7711,0.8253,0.6867,0.0637,0.0671,0.0144,83.53,91.76,,,,,0.8571,0.72,0.6102,0.5373,0.4737,0.7169,,,,0.9394,0.8571,0.72,0.6102,0.5373,0.74,0.7169,,,,,,0.72,0.6102,0.5373,0.4737,0.7169
NCI-H358,317,80,12,8.31,0.5113,0.6059,0.4392,0.4369,0.5991,0.5056,0.491,0.4932,0.5631,0.5113,0.4279,0.3761,0.4932,0.0967,0.1052,0.0331,65.0,82.5,,0.7333,0.6136,0.5632,0.4414,0.363,0.3082,0.5288,0.4657,0.5113,0.8571,0.7143,0.7143,0.5632,0.4414,0.363,0.4856,0.522,0.5606,0.5113,0.4286,0.3333,0.5682,0.5172,0.4414,0.363,0.3082,0.5288,0.4657,0.5113
NCI-H441,321,81,12,1.0,0.975,0.9812,1.0,0.9375,1.0,1.0,1.0,1.0,0.85,0.275,0.5,0.6375,0.5,0.017,0.032,0.0056,88.89,95.06,,,,,,,,,,0.975,,,,,,,,,,0.975,,,,,,,,,,0.975
NCI-H460,274,69,12,18.08,0.7099,0.7311,0.6993,0.2476,0.7193,0.7311,0.5719,0.3644,0.7323,0.7447,0.6521,0.7146,0.7146,0.1737,0.1606,0.0862,47.83,65.22,,0.9231,0.8148,0.713,0.5467,0.4432,0.5374,0.5816,0.6438,0.7099,1.0,1.0,0.8947,0.7879,0.6379,0.6204,0.5976,0.6217,0.6438,0.7099,,1.0,0.8519,0.713,0.6379,0.5463,0.6067,0.5816,0.6438,0.7099
NCI-H520,317,80,12,11.08,0.4444,0.592,0.5399,0.5451,0.5,0.4826,0.375,0.3854,0.4306,0.4887,0.4462,0.4097,0.3542,0.0945,0.093,0.0308,72.5,87.5,0.4286,0.2,0.1304,0.6607,0.5943,0.5754,0.5481,0.4712,0.4132,0.4444,0.4286,0.2,0.1304,0.5402,0.6569,0.5754,0.5423,0.4712,0.4132,0.4444,0.6667,0.6154,0.675,0.7185,0.6765,0.5754,0.5423,0.4712,0.4132,0.4444
NCI-H522,312,78,12,4.36,0.4026,0.5844,0.4805,0.2468,0.4156,0.5714,0.8442,0.7403,0.4026,0.3766,0.6883,0.4286,0.5455,0.0421,0.0588,0.0068,84.62,92.31,,,,1.0,0.8158,0.6739,0.5741,0.5,0.4429,0.4026,,,0.913,0.9032,0.8158,0.6739,0.5741,0.5,0.4429,0.4026,,,0.5217,0.5161,0.5,0.5435,0.5741,0.5,0.4429,0.4026
NCI-H647,272,69,12,15.54,0.5078,0.4334,0.4263,0.5846,0.5235,0.6176,0.547,0.5094,0.5956,0.5423,0.4859,0.511,0.6426,0.1529,0.1448,0.0639,59.42,69.57,0.8333,0.4583,0.5735,0.4062,0.3145,0.6029,0.5,0.4271,0.5038,0.5078,1.0,0.7879,0.6765,0.5833,0.5115,0.5588,0.5667,0.4965,0.4403,0.5078,,0.6667,0.5882,0.6136,0.5345,0.5588,0.5667,0.4988,0.5038,0.5078
NCI-H650,322,81,12,2.98,0.5,0.3481,0.6266,0.5063,0.462,0.5348,0.6835,0.3291,0.6329,0.5032,0.481,0.6646,0.481,0.0315,0.0457,0.0059,86.42,95.06,,0.5625,0.375,0.2812,0.225,0.1875,0.1607,0.1406,0.5563,0.5,,,,,0.225,0.1875,0.1607,0.1406,0.125,0.5,,,,,0.15,0.125,0.1071,0.125,0.5563,0.5
NCI-H661,318,80,12,6.03,0.1731,0.2051,0.1346,0.9231,0.0449,0.3397,0.1218,0.7885,0.1667,0.3526,0.3974,0.8333,0.4295,0.0703,0.0814,0.0182,76.25,88.75,,0.8,0.6136,0.45,0.3553,0.2935,0.25,0.2177,0.1929,0.1731,,0.4286,0.4545,0.4,0.3553,0.2935,0.25,0.2177,0.1929,0.1731,0.4286,0.3333,0.2609,0.3226,0.3026,0.2935,0.25,0.2177,0.1929,0.1731
NCI-H720,337,85,12,8.77,0.5148,0.366,0.3629,0.3565,0.4578,0.6572,0.5359,0.5527,0.6266,0.4916,0.5295,0.5316,0.5886,0.0696,0.0763,0.012,74.12,89.41,0.0,0.4,0.25,0.3978,0.3083,0.2569,0.2164,0.3906,0.4694,0.5148,0.5,0.4,0.5072,0.3871,0.3083,0.2569,0.2164,0.3789,0.4667,0.5148,,,,0.2344,0.2317,0.2449,0.2164,0.3789,0.4694,0.5148
NCI-H727,317,80,12,5.04,0.5855,0.6053,0.4539,0.4638,0.5691,0.6118,0.5592,0.7039,0.4474,0.4753,0.5,0.6316,0.4737,0.0437,0.0503,0.0068,86.25,95.0,,,0.8409,0.6167,0.4868,0.4022,0.3426,0.2984,0.4928,0.5855,,,0.6957,0.6,0.4868,0.4022,0.3426,0.2984,0.4928,0.5855,,,,0.2581,0.3077,0.3261,0.2963,0.2984,0.4928,0.5855
NCI-H810,320,81,12,11.97,0.679,0.5324,0.4491,0.4475,0.588,0.591,0.4799,0.5448,0.6373,0.7184,0.7052,0.7238,0.7346,0.118,0.1226,0.0454,59.26,76.54,,0.6875,0.4583,0.5806,0.4615,0.5435,0.5802,0.61,0.6645,0.679,,,0.4583,0.5806,0.6404,0.6611,0.5755,0.5041,0.6623,0.679,,,0.6087,0.5806,0.6404,0.6611,0.5755,0.6033,0.6688,0.679
NCI-H835,175,44,12,7.31,0.6438,0.4125,0.5188,0.4625,0.4875,0.7719,0.9,0.925,0.5938,0.6094,0.4063,0.3312,0.55,0.0641,0.0712,0.0134,81.82,90.91,,,0.8462,0.8438,0.675,0.54,0.4655,0.3971,0.3553,0.6438,,,0.7692,0.6471,0.5238,0.54,0.4655,0.3971,0.5766,0.6438,,,,0.4706,0.4762,0.48,0.4655,0.3971,0.5766,0.6438
NCI-H838,274,69,12,9.91,0.4192,0.5365,0.4769,0.5077,0.4731,0.4115,0.5192,0.4808,0.3538,0.4327,0.4077,0.4269,0.4192,0.1146,0.1198,0.0442,56.52,73.91,0.1667,0.0769,0.05,0.5867,0.4583,0.3761,0.3188,0.2767,0.2444,0.4192,0.1667,0.0769,0.4474,0.56,0.4583,0.3761,0.3188,0.2767,0.2444,0.4192,1.0,0.8462,0.4474,0.5867,0.4583,0.3761,0.3188,0.2767,0.2444,0.4192
PC-14,323,81,12,10.89,0.6732,0.7169,0.569,0.7296,0.6465,0.7479,0.7606,0.8127,0.6958,0.593,0.5986,0.5915,0.5577,0.1069,0.1003,0.0421,71.6,80.25,0.875,0.4375,0.2917,0.6129,0.7162,0.5889,0.5846,0.5067,0.5931,0.6732,,0.4375,0.2917,0.2188,0.614,0.6727,0.6569,0.6552,0.6423,0.6732,,,,0.7812,0.614,0.6773,0.5808,0.6552,0.5931,0.6732
PC-3_[JPC-3],266,67,12,6.31,0.5154,0.5423,0.3462,0.3154,0.5923,0.4192,0.1077,0.1769,0.6154,0.3231,0.7308,0.6077,0.4385,0.0382,0.0464,0.0034,86.57,97.01,,,0.95,0.7308,0.5758,0.475,0.413,0.6442,0.5678,0.5154,,1.0,0.95,0.7308,0.5758,0.475,0.413,0.6442,0.5678,0.5154,,1.0,1.0,0.9615,0.9394,0.95,0.6667,0.6442,0.5678,0.5154
RERF-LC-KJ,322,81,12,5.71,0.5552,0.5244,0.4805,0.5227,0.5422,0.7906,0.6753,0.3182,0.4026,0.5601,0.5065,0.4578,0.2435,0.0542,0.0649,0.013,85.19,93.83,0.125,0.0625,0.0417,0.0312,0.025,0.0208,0.6605,0.5753,0.6196,0.5552,0.0,0.0,0.0,0.0312,0.025,0.0208,0.6481,0.5753,0.6196,0.5552,0.875,0.9,0.9348,0.6333,0.6491,0.6377,0.6358,0.5753,0.6196,0.5552
RERF-LC-MS,277,70,12,8.65,0.6023,0.5947,0.678,0.7197,0.5038,0.7348,0.7614,0.7803,0.6667,0.4867,0.6515,0.6288,0.5189,0.0944,0.099,0.03,65.71,85.71,,,0.75,0.5556,0.4412,0.3659,0.6596,0.7644,0.6737,0.6023,,0.8462,0.65,0.5185,0.4118,0.7949,0.8222,0.7644,0.6737,0.6023,,,,0.4074,0.4118,0.7949,0.7609,0.7644,0.6737,0.6023
RERF-LC-Sq1,320,80,12,5.25,0.8281,0.7865,0.6406,0.724,0.75,0.8307,0.6146,0.6684,0.8247,0.8186,0.7344,0.8976,0.8038,0.0454,0.0461,0.022,90.0,91.25,,0.6667,0.4348,0.3226,0.2564,0.2128,0.1818,0.5645,0.7791,0.8281,,,0.4348,0.3226,0.2564,0.2128,0.1818,0.7049,0.7761,0.8281,,0.9333,0.9545,0.9667,0.9474,0.6963,0.6918,0.694,0.7761,0.8281
SK-LU-1,318,80,12,5.78,0.696,0.524,0.528,0.5653,0.4933,0.5173,0.5867,0.448,0.728,0.58,0.6133,0.3493,0.512,0.0588,0.078,0.0145,76.25,87.5,,,,,0.9231,0.8667,0.7358,0.6393,0.5652,0.696,,,,0.9677,0.8462,0.8152,0.7358,0.6393,0.5652,0.696,,,0.6522,0.7097,0.7179,0.7174,0.717,0.6393,0.5652,0.696
SK-MES-1,322,81,12,8.68,0.4969,0.4645,0.4969,0.5664,0.5123,0.561,0.5093,0.5802,0.5293,0.5478,0.5015,0.463,0.429,0.091,0.0961,0.0356,69.14,81.48,0.375,0.5333,0.3478,0.569,0.4459,0.4864,0.5629,0.5526,0.4846,0.4969,1.0,0.6667,0.5833,0.5172,0.5667,0.5736,0.5629,0.5482,0.4846,0.4969,0.625,0.6875,0.5833,0.5625,0.5389,0.5736,0.5629,0.5504,0.4846,0.4969
SW1573,321,81,12,0.5,0.775,0.45,0.45,0.675,0.95,0.425,0.925,0.975,0.9625,0.3438,0.1875,0.075,0.2437,0.0066,0.0114,0.0003,97.53,98.77,,,,,,,,0.9688,0.8611,0.775,,,,,,,,,0.8611,0.775,,0.75,0.7917,0.7812,0.75,0.7708,0.7857,0.7812,0.8056,0.775
UMC-11,316,80,12,8.33,0.536,0.472,0.68,0.5947,0.5067,0.5547,0.6,0.5413,0.6933,0.6493,0.672,0.5573,0.6027,0.0888,0.0986,0.026,67.5,85.0,,1.0,0.7955,0.5833,0.6306,0.5185,0.4403,0.3825,0.4816,0.536,,1.0,0.7727,0.7011,0.6036,0.5185,0.4403,0.5292,0.4816,0.536,0.5,0.4286,0.4091,0.5,0.4605,0.5185,0.4403,0.5333,0.4816,0.536
VMRC-LCD,216,55,12,4.8,0.9434,0.6179,0.7453,0.3113,0.8302,0.9575,0.9528,0.9245,0.8302,0.6368,0.9245,0.2075,0.9057,0.0439,0.0534,0.0031,81.82,94.55,,,,,,,,,0.9592,0.9434,,,,,,,,,0.9388,0.9434,,,,,,,,,0.9388,0.9434
