Cell_Line,N_train,N_test,Pct_sensitive,Overall_AUC,Mean_CLASS_LAG,Median_CLASS_LAG,Pct_confident_20pct,Pct_confident_30pct,AUC_cov010,AUC_cov020,AUC_cov030,AUC_cov040,AUC_cov050,AUC_cov060,AUC_cov070,AUC_cov080,AUC_cov090,AUC_cov100
NCI-H727,317,80,23.17,0.5732,0.2489,0.24,25.0,72.5,,0.625,0.65,0.5704,0.4429,0.6368,0.5685,0.5817,0.5794,0.5732
NCI-H810,320,81,53.62,0.5351,0.3744,0.4,6.17,18.52,0.25,0.4167,0.5385,0.546,0.5262,0.5267,0.5617,0.5593,0.5439,0.5351
NCI-H835,175,44,36.99,0.3979,0.3343,0.34,4.55,27.27,0.5,0.55,0.4062,0.5,0.5625,0.5528,0.4146,0.404,0.3338,0.3979
NCI-H838,274,69,41.69,0.5369,0.3761,0.4,4.35,20.29,0.55,0.4625,0.4778,0.5778,0.5543,0.5459,0.5699,0.5427,0.5402,0.5369
PC-14,323,81,56.19,0.6977,0.3665,0.39,8.64,22.22,0.75,0.6833,0.7018,0.7153,0.704,0.6786,0.7216,0.7265,0.7194,0.6977
PC-3_[JPC-3],266,67,27.93,0.4683,0.2633,0.27,35.82,58.21,0.75,0.3444,0.3878,0.3783,0.34,0.4045,0.4903,0.4521,0.4368,0.4683
RERF-LC-KJ,322,81,34.0,0.5242,0.2867,0.28,24.69,54.32,0.5,0.6364,0.6233,0.5079,0.5275,0.507,0.4676,0.502,0.5028,0.5242
RERF-LC-MS,277,70,48.41,0.4958,0.3839,0.4,2.86,14.29,0.4167,0.425,0.4745,0.4947,0.5,0.4694,0.4535,0.4646,0.4582,0.4958
RERF-LC-Sq1,320,80,27.0,0.5675,0.2505,0.26,32.5,63.75,0.8571,0.6042,0.6429,0.5749,0.4983,0.5429,0.5781,0.5586,0.5471,0.5675
SK-LU-1,318,80,31.66,0.5165,0.303,0.31,18.75,45.0,0.0,0.2833,0.4111,0.3227,0.3452,0.402,0.4357,0.4301,0.4835,0.5165
SK-MES-1,322,81,41.19,0.5641,0.3542,0.36,3.7,24.69,0.575,0.5417,0.5641,0.5772,0.5774,0.5396,0.545,0.5502,0.5306,0.5641
SW1573,321,81,13.93,0.4502,0.1375,0.12,80.25,93.83,0.625,0.5238,0.565,0.4143,0.5436,0.4903,0.4691,0.4613,0.4018,0.4502
UMC-11,316,80,47.98,0.6538,0.3791,0.39,5.0,20.0,0.8333,0.7917,0.7815,0.7571,0.7188,0.7098,0.68,0.6676,0.6601,0.6538
VMRC-LCD,216,55,29.15,0.6299,0.2747,0.25,30.91,61.82,0.7222,0.2917,0.1667,0.3194,0.4735,0.545,0.6698,0.6079,0.5516,0.6299
